Wavelength,Value
745,0.000610953236945521
746,0.000590469639697558
747,0.000572516908378898
748,0.000557105538643409
749,0.000540576116242017
750,0.000523209558349223
751,0.000505785105130127
752,0.000492954852340755
753,0.000475524422260552
754,0.000462941621440371
755,0.000450226501597225
756,0.000436585803907913
757,0.00042360684660351
758,0.000412950091245012
759,0.000399313040604989
760,0.000385249775366597
761,0.000373381662108141
762,0.000360538345025492
763,0.000348686432775621
764,0.000343459456554116
765,0.000330837854108106
766,0.000320734061381568
767,0.00030888322558395
768,0.000300470217768892
769,0.000294365541063868
770,0.000283774897220791
771,0.000276004543407517
772,0.000268292909792599
773,0.00025870294016447
774,0.000250766220681168
775,0.000241349697889196
776,0.000235857990295059
777,0.000229928109065597
778,0.000224550123460547
779,0.000218061806952425
780,0.000209676706618555
781,0.000203205099060289
782,0.000196985931607728
783,0.000191265599934092
784,0.000186178209768332
785,0.000181913247577069
786,0.000175488095978836
787,0.000169666179301344
788,0.00016517941314001
789,0.000162451592370715
790,0.000154297082723844
791,0.000153727488491356
792,0.000148899156539125
793,0.00014330053064403
794,0.000135613540098262
795,0.000134277395090793
796,0.000129706593390171
797,0.000125719917594892
798,0.00012563507076244
799,0.00011898336921302
800,0.000116081766290579
801,0.000112438214361019
802,0.000110002946424126
803,0.000106401622334816
804,0.000104205500684523
805,0.000100995822074127
806,9.78162073100933E-05
807,9.55697949059379E-05
808,9.2761197862526E-05
809,9.08068687391991E-05
810,8.84464856396266E-05
811,8.46043021080242E-05
812,8.47282733198998E-05
813,8.2184839556071E-05
814,7.69791533977185E-05
815,7.50190039089276E-05
816,7.39032033073427E-05
817,7.20043771163618E-05
818,7.05702756335396E-05
819,7.08167624962767E-05
820,6.98764368255139E-05
821,6.58805479587578E-05
822,6.2754559514568E-05
823,5.96265267519573E-05
824,6.04020573392527E-05
825,6.06475522541285E-05
826,5.96524103922155E-05
827,5.70538392675886E-05
828,5.50112100140669E-05
829,5.2143726171904E-05
830,5.09485589886661E-05
831,5.07149009778905E-05
832,4.95995011479808E-05
833,4.87516230438857E-05
834,4.85043476541593E-05
835,4.49882159618075E-05
836,4.21345033157992E-05
837,4.19442335740223E-05
838,4.16970205829205E-05
839,4.21677683162702E-05
840,4.06380550637992E-05
841,3.99399886114887E-05
842,3.78311557645784E-05
843,3.71241740439848E-05
844,3.59444437403241E-05
845,3.50217072868298E-05
846,3.62922716190081E-05
847,3.57676479556526E-05
848,3.40307343916539E-05
849,3.29835041718164E-05
850,3.06820498666874E-05
